News Organization,Tweet Text,Positive Sentiment,Negative Sentiment,Neutral Sentiment,Compound Sentiment,Time of Tweet
CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",0.0,0.0,1.0,0.0,2018-03-16 18:15:53+00:00
CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,0.104,0.0,0.896,0.296,2018-03-16 22:53:21+00:00
CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,0.247,0.0,0.753,0.7096,2018-03-17 14:00:03+00:00
CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,0.161,0.0,0.839,0.6166,2018-03-17 17:42:43+00:00
CBS,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",0.0,0.0,1.0,0.0,2018-03-17 19:00:02+00:00
CBS,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",0.08,0.0,0.92,0.1867,2018-03-18 17:09:53+00:00
CBS,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,0.213,0.0,0.787,0.6514,2018-03-18 18:05:43+00:00
CBS,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,0.0,0.0,1.0,0.0,2018-03-18 23:44:30+00:00
CBS,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",0.309,0.072,0.619,0.7845,2018-03-19 21:02:26+00:00
CBS,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",0.0,0.0,1.0,0.0,2018-03-20 16:11:00+00:00
CBS,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,0.174,0.0,0.826,0.5562,2018-03-20 16:52:42+00:00
CBS,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,0.0,0.0,1.0,0.0,2018-03-20 17:58:43+00:00
CBS,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,0.142,0.0,0.858,0.5106,2018-03-20 20:00:01+00:00
CBS,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,0.0,0.0,1.0,0.0,2018-03-21 18:00:01+00:00
CBS,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,0.198,0.0,0.802,0.636,2018-03-22 00:23:38+00:00
CBS,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,0.311,0.066,0.623,0.7081,2018-03-22 20:52:02+00:00
CBS,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,0.0,0.0,1.0,0.0,2018-03-22 22:10:29+00:00
CBS,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",0.355,0.0,0.645,0.8997,2018-03-23 22:32:48+00:00
CBS,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,0.314,0.0,0.686,0.4939,2018-03-23 22:33:04+00:00
CBS,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,0.194,0.0,0.806,0.6996,2018-03-23 22:33:52+00:00
CBS,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",0.0,0.0,1.0,0.0,2018-03-24 20:00:02+00:00
CBS,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",0.0,0.0,1.0,0.0,2018-03-24 20:00:02+00:00
CBS,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,0.42,0.0,0.58,0.9451,2018-03-24 22:21:23+00:00
CBS,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,0.42,0.0,0.58,0.9451,2018-03-24 22:21:23+00:00
CBS,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",0.333,0.0,0.667,0.7184,2018-03-24 22:21:26+00:00
CBS,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",0.333,0.0,0.667,0.7184,2018-03-24 22:21:26+00:00
CBS,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",0.0,0.0,1.0,0.0,2018-03-24 22:21:34+00:00
CBS,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",0.0,0.0,1.0,0.0,2018-03-24 22:21:34+00:00
CBS,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,0.0,0.0,1.0,0.0,2018-03-24 22:21:37+00:00
CBS,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,0.0,0.0,1.0,0.0,2018-03-24 22:21:37+00:00
CBS,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",0.209,0.0,0.791,0.7003,2018-03-24 22:25:03+00:00
